# ARM64 retained root matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkVerifyHotPublicKey-16             	   61513	     19501 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61419	     19545 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61352	     19535 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61460	     19511 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61495	     19498 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61533	     19507 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61470	     19526 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61137	     19545 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   61431	     19529 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20696	     57920 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20720	     57844 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20802	     57709 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20791	     57821 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20698	     57944 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20778	     56889 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   21315	     56265 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   21444	     56008 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   21445	     55883 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   21517	     55794 ns/op	    9472 B/op	       1 allocs/op
